GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:1901575	P	organic substance catabolic process	29	982	253	15420	0.0032	0.05	// Sobic.010G041400 // Sobic.001G071800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.003G393900 // Sobic.008G033600 // Sobic.006G267200 // Sobic.010G101600 // Sobic.005G034400 // Sobic.002G373300 // Sobic.010G105800 // Sobic.001G384100 // Sobic.007G101800 // Sobic.006G132400 // Sobic.001G508800 // Sobic.004G146000 // Sobic.010G001600 // Sobic.K029900 // Sobic.010G273600 // Sobic.006G132100 // Sobic.003G336000 // Sobic.001G226600 // Sobic.004G234100 // Sobic.006G132300 // Sobic.006G132200 // Sobic.010G221800 
GO:0006082	P	organic acid metabolic process	40	982	386	15420	0.0032	0.05	// Sobic.010G160700 // Sobic.010G041400 // Sobic.001G071800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.007G153900 // Sobic.002G041200 // Sobic.003G303300 // Sobic.006G267200 // Sobic.001G280700 // Sobic.010G101600 // Sobic.005G034400 // Sobic.006G249400 // Sobic.003G258800 // Sobic.003G393900 // Sobic.003G279500 // Sobic.007G101800 // Sobic.009G209200 // Sobic.007G137600 // Sobic.004G146000 // Sobic.006G096500 // Sobic.001G438100 // Sobic.002G041100 // Sobic.003G377100 // Sobic.009G236100 // Sobic.004G251200 // Sobic.004G312500 // Sobic.004G331700 // Sobic.001G451500 // Sobic.001G443800 // Sobic.007G152800 // Sobic.008G033600 // Sobic.001G326900 // Sobic.004G053700 // Sobic.004G234100 // Sobic.010G001600 // Sobic.010G221800 
GO:0009311	P	oligosaccharide metabolic process	9	982	44	15420	0.0039	0.06	// Sobic.002G194700 // Sobic.007G126100 // Sobic.001G353300 // Sobic.009G198900 // Sobic.003G296000 // Sobic.010G072300 // Sobic.004G325900 // Sobic.001G344500 // Sobic.002G184600 
GO:0046351	P	disaccharide biosynthetic process	7	982	28	15420	0.0041	0.063	// Sobic.002G194700 // Sobic.007G126100 // Sobic.001G353300 // Sobic.009G198900 // Sobic.003G296000 // Sobic.004G325900 // Sobic.002G184600 
GO:0050794	P	regulation of cellular process	115	982	1401	15420	0.0044	0.065	// Sobic.010G045700 // Sobic.001G456400 // Sobic.006G120301 // Sobic.010G218500 // Sobic.009G237600 // Sobic.009G141500 // Sobic.004G336500 // Sobic.004G300300 // Sobic.001G423400 // Sobic.008G107500 // Sobic.008G021800 // Sobic.004G233200 // Sobic.002G393800 // Sobic.001G486000 // Sobic.007G188701 // Sobic.003G341100 // Sobic.006G218300 // Sobic.005G117400 // Sobic.006G149600 // Sobic.003G000600 // Sobic.004G065900 // Sobic.010G016500 // Sobic.002G247300 // Sobic.006G163900 // Sobic.008G094700 // Sobic.004G031600 // Sobic.010G052600 // Sobic.004G190900 // Sobic.009G065000 // Sobic.004G295500 // Sobic.010G215100 // Sobic.009G100500 // Sobic.009G238500 // Sobic.002G225700 // Sobic.006G240500 // Sobic.001G206300 // Sobic.004G214300 // Sobic.010G091600 // Sobic.001G523200 // Sobic.006G162800 // Sobic.001G075900 // Sobic.003G121400 // Sobic.009G151600 // Sobic.002G275100 // Sobic.002G371800 // Sobic.002G225300 // Sobic.003G334600 // Sobic.005G064600 // Sobic.003G248400 // Sobic.009G221400 // Sobic.003G324500 // Sobic.001G447400 // Sobic.004G176600 // Sobic.007G162700 // Sobic.005G012000 // Sobic.001G481600 // Sobic.001G389000 // Sobic.004G101400 // Sobic.009G238200 // Sobic.009G111200 // Sobic.007G156700 // Sobic.001G040200 // Sobic.009G184400 // Sobic.002G390100 // Sobic.006G167800 // Sobic.002G420700 // Sobic.006G018800 // Sobic.003G333300 // Sobic.002G415600 // Sobic.007G180300 // Sobic.007G109900 // Sobic.007G083300 // Sobic.002G081300 // Sobic.006G058732 // Sobic.004G037800 // Sobic.001G314900 // Sobic.003G286700 // Sobic.003G369100 // Sobic.009G142200 // Sobic.010G275200 // Sobic.003G078100 // Sobic.005G018500 // Sobic.003G324400 // Sobic.004G041600 // Sobic.006G245500 // Sobic.003G194400 // Sobic.009G247300 // Sobic.002G203000 // Sobic.007G181500 // Sobic.004G191700 // Sobic.009G208000 // Sobic.006G170100 // Sobic.006G206000 // Sobic.008G016200 // Sobic.004G271700 // Sobic.003G295900 // Sobic.001G030200 // Sobic.005G041000 // Sobic.007G118301 // Sobic.003G265200 // Sobic.003G148600 // Sobic.003G379700 // Sobic.004G138400 // Sobic.007G061100 // Sobic.003G254900 // Sobic.003G395400 // Sobic.003G363400 // Sobic.009G232266 // Sobic.004G166400 // Sobic.001G044300 // Sobic.003G298600 // Sobic.005G051200 // Sobic.002G421600 // Sobic.004G201600 // Sobic.002G354600 
GO:0019752	P	carboxylic acid metabolic process	36	982	344	15420	0.0044	0.065	// Sobic.010G041400 // Sobic.001G071800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.002G041200 // Sobic.003G303300 // Sobic.006G267200 // Sobic.001G280700 // Sobic.010G101600 // Sobic.005G034400 // Sobic.006G249400 // Sobic.003G258800 // Sobic.003G393900 // Sobic.003G279500 // Sobic.007G101800 // Sobic.009G209200 // Sobic.007G137600 // Sobic.004G146000 // Sobic.006G096500 // Sobic.001G438100 // Sobic.002G041100 // Sobic.003G377100 // Sobic.009G236100 // Sobic.004G251200 // Sobic.004G331700 // Sobic.001G451500 // Sobic.001G443800 // Sobic.007G152800 // Sobic.008G033600 // Sobic.001G326900 // Sobic.004G234100 // Sobic.010G001600 // Sobic.010G221800 
GO:0019318	P	hexose metabolic process	6	982	21	15420	0.0045	0.067	// Sobic.003G336000 // Sobic.001G071800 // Sobic.001G384100 // Sobic.006G030800 // Sobic.001G391300 // Sobic.001G269100 
GO:0032787	P	monocarboxylic acid metabolic process	21	982	168	15420	0.0046	0.067	// Sobic.010G041400 // Sobic.003G393900 // Sobic.001G071800 // Sobic.004G234100 // Sobic.007G101800 // Sobic.009G236100 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.001G280700 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.010G101600 // Sobic.001G438100 // Sobic.005G034400 // Sobic.003G377100 // Sobic.006G267200 // Sobic.001G326900 // Sobic.010G221800 
GO:0016070	P	RNA metabolic process	114	982	1395	15420	0.0052	0.075	// Sobic.010G045700 // Sobic.006G142775 // Sobic.006G120301 // Sobic.005G049000 // Sobic.010G218500 // Sobic.009G237600 // Sobic.009G141500 // Sobic.004G336500 // Sobic.004G300300 // Sobic.004G251200 // Sobic.001G423400 // Sobic.008G107500 // Sobic.009G230000 // Sobic.008G021800 // Sobic.004G233200 // Sobic.002G299000 // Sobic.001G486000 // Sobic.007G188701 // Sobic.003G341100 // Sobic.006G218300 // Sobic.005G117400 // Sobic.006G149600 // Sobic.003G000600 // Sobic.004G065900 // Sobic.003G062200 // Sobic.010G016500 // Sobic.002G394400 // Sobic.002G247300 // Sobic.006G163900 // Sobic.008G094700 // Sobic.004G031600 // Sobic.010G052600 // Sobic.004G190900 // Sobic.009G065000 // Sobic.004G295500 // Sobic.010G215100 // Sobic.009G100500 // Sobic.009G238500 // Sobic.002G225700 // Sobic.006G240500 // Sobic.001G206300 // Sobic.004G214300 // Sobic.006G162800 // Sobic.007G121300 // Sobic.001G075900 // Sobic.003G121400 // Sobic.003G145400 // Sobic.009G151600 // Sobic.002G225300 // Sobic.003G334600 // Sobic.005G064600 // Sobic.003G248400 // Sobic.009G221400 // Sobic.003G324500 // Sobic.001G447400 // Sobic.004G176600 // Sobic.007G162700 // Sobic.001G481600 // Sobic.001G389000 // Sobic.004G101400 // Sobic.003G302466 // Sobic.009G238200 // Sobic.004G088200 // Sobic.009G111200 // Sobic.007G156700 // Sobic.001G040200 // Sobic.009G184400 // Sobic.001G125100 // Sobic.006G167800 // Sobic.002G420700 // Sobic.003G333300 // Sobic.002G415600 // Sobic.007G180300 // Sobic.007G109900 // Sobic.007G083300 // Sobic.002G081300 // Sobic.006G058732 // Sobic.004G037800 // Sobic.009G028300 // Sobic.001G314900 // Sobic.003G286700 // Sobic.003G369100 // Sobic.009G142200 // Sobic.010G275200 // Sobic.003G078100 // Sobic.005G018500 // Sobic.003G324400 // Sobic.004G041600 // Sobic.006G245500 // Sobic.003G194400 // Sobic.009G247300 // Sobic.007G181500 // Sobic.004G191700 // Sobic.009G208000 // Sobic.006G170100 // Sobic.006G206000 // Sobic.010G167900 // Sobic.003G295900 // Sobic.001G030200 // Sobic.005G041000 // Sobic.007G118301 // Sobic.003G265200 // Sobic.003G148600 // Sobic.003G379700 // Sobic.004G138400 // Sobic.007G061100 // Sobic.003G254900 // Sobic.003G395400 // Sobic.003G363400 // Sobic.001G044300 // Sobic.003G298600 // Sobic.005G051200 // Sobic.004G201600 // Sobic.002G354600 
GO:0006022	P	aminoglycan metabolic process	6	982	22	15420	0.0055	0.078	// Sobic.006G132100 // Sobic.006G132400 // Sobic.006G132300 // Sobic.006G132200 // Sobic.K029900 // Sobic.010G273600 
GO:1901565	P	organonitrogen compound catabolic process	7	982	31	15420	0.0067	0.094	// Sobic.006G132100 // Sobic.006G132400 // Sobic.006G132300 // Sobic.010G001600 // Sobic.006G132200 // Sobic.K029900 // Sobic.010G273600 
GO:0055086	P	nucleobase-containing small molecule metabolic process	21	982	175	15420	0.007	0.098	// Sobic.001G392500 // Sobic.003G393900 // Sobic.010G041400 // Sobic.002G250400 // Sobic.001G071800 // Sobic.001G098800 // Sobic.007G101800 // Sobic.007G207600 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.010G101600 // Sobic.005G034400 // Sobic.004G166400 // Sobic.010G221800 // Sobic.006G267200 // Sobic.004G234100 
GO:0009987	P	cellular process	388	982	5485	15420	0.0071	0.099	// Sobic.010G045700 // Sobic.006G142775 // Sobic.002G033900 // Sobic.001G456400 // Sobic.002G363400 // Sobic.005G049000 // Sobic.004G190800 // Sobic.002G314700 // Sobic.002G317500 // Sobic.006G107600 // Sobic.004G336500 // Sobic.006G218700 // Sobic.003G268900 // Sobic.004G164800 // Sobic.002G288300 // Sobic.007G126100 // Sobic.003G279500 // Sobic.007G101800 // Sobic.007G207600 // Sobic.006G096500 // Sobic.006G267200 // Sobic.003G012900 // Sobic.007G188701 // Sobic.003G305400 // Sobic.009G191700 // Sobic.001G326900 // Sobic.004G053700 // Sobic.003G035500 // Sobic.010G016500 // Sobic.010G041400 // Sobic.001G071800 // Sobic.006G163900 // Sobic.004G031600 // Sobic.009G065000 // Sobic.002G352100 // Sobic.003G081100 // Sobic.005G012200 // Sobic.002G225700 // Sobic.006G240500 // Sobic.002G215000 // Sobic.001G098800 // Sobic.006G162800 // Sobic.002G041100 // Sobic.007G156700 // Sobic.001G383000 // Sobic.009G151600 // Sobic.002G250400 // Sobic.001G443800 // Sobic.002G420700 // Sobic.009G166400 // Sobic.002G371800 // Sobic.005G226000 // Sobic.001G447400 // Sobic.004G245100 // Sobic.005G012000 // Sobic.001G481600 // Sobic.004G016800 // Sobic.001G389000 // Sobic.004G169300 // Sobic.004G214300 // Sobic.006G228700 // Sobic.004G152000 // Sobic.006G167800 // Sobic.006G140200 // Sobic.002G360701 // Sobic.006G210800 // Sobic.009G114500 // Sobic.003G445900 // Sobic.003G339500 // Sobic.006G132400 // Sobic.002G355100 // Sobic.003G268700 // Sobic.001G520900 // Sobic.003G286700 // Sobic.006G186700 // Sobic.003G188000 // Sobic.002G328000 // Sobic.009G238600 // Sobic.003G194400 // Sobic.006G151100 // Sobic.002G203000 // Sobic.009G208000 // Sobic.002G147100 // Sobic.003G295900 // Sobic.009G019200 // Sobic.001G030200 // Sobic.003G319300 // Sobic.003G303300 // Sobic.003G148600 // Sobic.007G212400 // Sobic.010G101600 // Sobic.009G015700 // Sobic.003G254900 // Sobic.009G026500 // Sobic.010G279800 // Sobic.003G262600 // Sobic.004G146800 // Sobic.003G313000 // Sobic.003G324500 // Sobic.010G160700 // Sobic.004G055200 // Sobic.003G402100 // Sobic.010G275200 // Sobic.009G141500 // Sobic.003G097000 // Sobic.004G300300 // Sobic.001G315600 // Sobic.008G107500 // Sobic.002G329600 // Sobic.008G021800 // Sobic.010G197500 // Sobic.004G233200 // Sobic.009G171000 // Sobic.009G236100 // Sobic.010G273600 // Sobic.004G251200 // Sobic.001G486000 // Sobic.006G165501 // Sobic.006G218300 // Sobic.005G117400 // Sobic.002G189100 // Sobic.010G044700 // Sobic.004G065900 // Sobic.003G148300 // Sobic.005G132200 // Sobic.002G394400 // Sobic.002G247300 // Sobic.008G094700 // Sobic.003G130800 // Sobic.004G338200 // Sobic.010G052600 // Sobic.004G190900 // Sobic.001G069800 // Sobic.004G295500 // Sobic.007G121400 // Sobic.001G428900 // Sobic.009G100500 // Sobic.007G038100 // Sobic.003G268800 // Sobic.002G251600 // Sobic.003G023400 // Sobic.004G125100 // Sobic.002G184600 // Sobic.010G091600 // Sobic.001G074200 // Sobic.006G111400 // Sobic.009G030600 // Sobic.007G121300 // Sobic.005G209600 // Sobic.003G121400 // Sobic.003G145400 // Sobic.005G175600 // Sobic.002G225300 // Sobic.003G334600 // Sobic.007G116950 // Sobic.006G215800 // Sobic.001G429200 // Sobic.001G489300 // Sobic.007G153900 // Sobic.006G128200 // Sobic.009G204601 // Sobic.009G071800 // Sobic.001G332900 // Sobic.003G379800 // Sobic.010G241500 // Sobic.009G238200 // Sobic.009G229700 // Sobic.003G183600 // Sobic.002G390100 // Sobic.001G280700 // Sobic.002G415600 // Sobic.007G109900 // Sobic.008G063500 // Sobic.004G173500 // Sobic.009G105500 // Sobic.007G160600 // Sobic.009G209200 // Sobic.005G034400 // Sobic.003G377100 // Sobic.002G289100 // Sobic.009G142200 // Sobic.002G326500 // Sobic.004G234100 // Sobic.006G005600 // Sobic.001G417600 // Sobic.004G041600 // Sobic.006G245500 // Sobic.009G146000 // Sobic.006G206000 // Sobic.008G016200 // Sobic.001G445400 // Sobic.004G271700 // Sobic.009G203600 // Sobic.001G236200 // Sobic.007G118301 // Sobic.003G265200 // Sobic.004G250700 // Sobic.004G138400 // Sobic.002G177600 // Sobic.003G421100 // Sobic.006G192200 // Sobic.003G395400 // Sobic.001G044300 // Sobic.005G051200 // Sobic.007G152800 // Sobic.006G130000 // Sobic.001G439700 // Sobic.001G498000 // Sobic.002G354600 // Sobic.001G344500 // Sobic.002G152200 // Sobic.003G290100 // Sobic.003G289100 // Sobic.001G054800 // Sobic.003G333300 // Sobic.002G242000 // Sobic.007G200200 // Sobic.006G264201 // Sobic.002G119500 // Sobic.006G122600 // Sobic.009G026900 // Sobic.009G242800 // Sobic.009G230000 // Sobic.002G315900 // Sobic.006G151001 // Sobic.K029900 // Sobic.002G299000 // Sobic.002G327700 // Sobic.001G406300 // Sobic.006G149600 // Sobic.003G000600 // Sobic.001G177000 // Sobic.003G062200 // Sobic.002G212200 // Sobic.001G314900 // Sobic.006G120301 // Sobic.007G209300 // Sobic.003G296700 // Sobic.010G215100 // Sobic.008G033600 // Sobic.009G198900 // Sobic.001G206300 // Sobic.003G335000 // Sobic.010G072300 // Sobic.001G523200 // Sobic.004G065200 // Sobic.002G326200 // Sobic.003G354000 // Sobic.003G209800 // Sobic.001G075900 // Sobic.010G120800 // Sobic.002G275100 // Sobic.004G013400 // Sobic.003G242200 // Sobic.005G064600 // Sobic.002G224400 // Sobic.004G325900 // Sobic.004G076100 // Sobic.003G343400 // Sobic.002G414400 // Sobic.004G281300 // Sobic.004G101400 // Sobic.003G302466 // Sobic.010G007500 // Sobic.003G188100 // Sobic.004G088200 // Sobic.007G038200 // Sobic.001G040200 // Sobic.009G184400 // Sobic.009G180200 // Sobic.004G037800 // Sobic.007G083300 // Sobic.003G258800 // Sobic.009G132400 // Sobic.002G081300 // Sobic.002G188700 // Sobic.009G174500 // Sobic.003G251000 // Sobic.010G167900 // Sobic.005G210000 // Sobic.002G187400 // Sobic.004G191700 // Sobic.006G170100 // Sobic.007G227000 // Sobic.002G289900 // Sobic.003G313800 // Sobic.006G132300 // Sobic.006G158200 // Sobic.003G379700 // Sobic.002G245900 // Sobic.003G263400 // Sobic.009G069800 // Sobic.002G262600 // Sobic.007G061100 // Sobic.005G041000 // Sobic.006G138500 // Sobic.009G232266 // Sobic.006G132100 // Sobic.004G014000 // Sobic.008G065200 // Sobic.001G070500 // Sobic.004G176600 // Sobic.002G339200 // Sobic.002G328500 // Sobic.003G393500 // Sobic.006G213500 // Sobic.003G321200 // Sobic.010G218500 // Sobic.009G237600 // Sobic.010G248301 // Sobic.001G423400 // Sobic.009G222100 // Sobic.004G146000 // Sobic.003G296000 // Sobic.003G413700 // Sobic.001G438100 // Sobic.002G393800 // Sobic.002G026300 // Sobic.003G341100 // Sobic.001G353300 // Sobic.001G451500 // Sobic.010G245100 // Sobic.006G132200 // Sobic.003G151600 // Sobic.001G424400 // Sobic.002G041200 // Sobic.009G238500 // Sobic.006G249400 // Sobic.001G392500 // Sobic.003G393900 // Sobic.009G111200 // Sobic.010G102000 // Sobic.003G052500 // Sobic.004G331700 // Sobic.001G034900 // Sobic.001G014200 // Sobic.003G248400 // Sobic.007G162700 // Sobic.003G291600 // Sobic.009G230100 // Sobic.006G158266 // Sobic.010G246600 // Sobic.006G030700 // Sobic.009G221400 // Sobic.003G335100 // Sobic.001G125100 // Sobic.006G018800 // Sobic.007G180300 // Sobic.003G209900 // Sobic.004G166400 // Sobic.007G137600 // Sobic.009G028300 // Sobic.003G369100 // Sobic.002G194700 // Sobic.003G078100 // Sobic.001G073800 // Sobic.005G018500 // Sobic.003G324400 // Sobic.002G373300 // Sobic.010G221800 // Sobic.002G411500 // Sobic.009G247300 // Sobic.007G181500 // Sobic.007G136900 // Sobic.001G367800 // Sobic.001G064700 // Sobic.005G055900 // Sobic.010G021300 // Sobic.002G350800 // Sobic.010G265800 // Sobic.006G058732 // Sobic.003G081700 // Sobic.009G217600 // Sobic.009G213000 // Sobic.007G130100 // Sobic.010G001600 // Sobic.009G204300 // Sobic.003G363400 // Sobic.001G441100 // Sobic.001G020500 // Sobic.004G312500 // Sobic.005G087666 // Sobic.003G298600 // Sobic.004G169900 // Sobic.002G421600 // Sobic.002G424800 // Sobic.004G201600 // Sobic.009G204900 
GO:0065007	P	biological regulation	119	982	1487	15420	0.0079	0.11	// Sobic.010G045700 // Sobic.001G456400 // Sobic.006G120301 // Sobic.010G218500 // Sobic.009G237600 // Sobic.009G141500 // Sobic.004G336500 // Sobic.004G300300 // Sobic.001G423400 // Sobic.008G107500 // Sobic.008G021800 // Sobic.004G233200 // Sobic.002G393800 // Sobic.001G486000 // Sobic.007G188701 // Sobic.003G341100 // Sobic.006G218300 // Sobic.005G117400 // Sobic.006G149600 // Sobic.003G000600 // Sobic.004G065900 // Sobic.010G016500 // Sobic.002G247300 // Sobic.006G163900 // Sobic.008G094700 // Sobic.004G031600 // Sobic.010G052600 // Sobic.004G190900 // Sobic.009G065000 // Sobic.004G295500 // Sobic.010G215100 // Sobic.009G100500 // Sobic.009G238500 // Sobic.002G225700 // Sobic.006G240500 // Sobic.001G206300 // Sobic.004G214300 // Sobic.010G091600 // Sobic.001G523200 // Sobic.006G162800 // Sobic.001G075900 // Sobic.003G121400 // Sobic.009G151600 // Sobic.002G275100 // Sobic.002G371800 // Sobic.002G225300 // Sobic.003G334600 // Sobic.005G064600 // Sobic.003G035500 // Sobic.003G248400 // Sobic.009G221400 // Sobic.003G324500 // Sobic.001G447400 // Sobic.004G176600 // Sobic.007G162700 // Sobic.005G012000 // Sobic.001G481600 // Sobic.001G389000 // Sobic.004G101400 // Sobic.009G238200 // Sobic.009G111200 // Sobic.007G156700 // Sobic.001G040200 // Sobic.009G184400 // Sobic.002G390100 // Sobic.006G167800 // Sobic.002G420700 // Sobic.006G018800 // Sobic.003G333300 // Sobic.002G415600 // Sobic.007G180300 // Sobic.007G109900 // Sobic.007G083300 // Sobic.002G081300 // Sobic.006G058732 // Sobic.004G037800 // Sobic.003G421100 // Sobic.001G314900 // Sobic.003G286700 // Sobic.003G369100 // Sobic.009G142200 // Sobic.010G275200 // Sobic.003G078100 // Sobic.005G018500 // Sobic.003G324400 // Sobic.004G041600 // Sobic.006G245500 // Sobic.003G194400 // Sobic.009G247300 // Sobic.002G203000 // Sobic.007G181500 // Sobic.004G191700 // Sobic.009G208000 // Sobic.006G170100 // Sobic.006G206000 // Sobic.008G016200 // Sobic.004G271700 // Sobic.003G295900 // Sobic.001G030200 // Sobic.005G041000 // Sobic.003G313800 // Sobic.007G118301 // Sobic.003G265200 // Sobic.003G148600 // Sobic.003G379700 // Sobic.004G138400 // Sobic.009G069800 // Sobic.007G061100 // Sobic.003G254900 // Sobic.003G395400 // Sobic.003G363400 // Sobic.009G232266 // Sobic.004G166400 // Sobic.001G044300 // Sobic.003G298600 // Sobic.005G051200 // Sobic.002G421600 // Sobic.004G201600 // Sobic.002G354600 
GO:0044703	P	multi-organism reproductive process	12	982	80	15420	0.0086	0.11	// Sobic.002G314700 // Sobic.001G428900 // Sobic.001G020500 // Sobic.003G319300 // Sobic.009G105500 // Sobic.001G332900 // Sobic.005G226000 // Sobic.009G019200 // Sobic.003G251000 // Sobic.002G289900 // Sobic.007G200200 // Sobic.003G012900 
GO:0044706	P	multi-multicellular organism process	12	982	80	15420	0.0086	0.11	// Sobic.002G314700 // Sobic.001G428900 // Sobic.001G020500 // Sobic.003G319300 // Sobic.009G105500 // Sobic.001G332900 // Sobic.005G226000 // Sobic.009G019200 // Sobic.003G251000 // Sobic.002G289900 // Sobic.007G200200 // Sobic.003G012900 
GO:0050789	P	regulation of biological process	115	982	1432	15420	0.0081	0.11	// Sobic.010G045700 // Sobic.001G456400 // Sobic.006G120301 // Sobic.010G218500 // Sobic.009G237600 // Sobic.009G141500 // Sobic.004G336500 // Sobic.004G300300 // Sobic.001G423400 // Sobic.008G107500 // Sobic.008G021800 // Sobic.004G233200 // Sobic.002G393800 // Sobic.001G486000 // Sobic.007G188701 // Sobic.003G341100 // Sobic.006G218300 // Sobic.005G117400 // Sobic.006G149600 // Sobic.003G000600 // Sobic.004G065900 // Sobic.010G016500 // Sobic.002G247300 // Sobic.006G163900 // Sobic.008G094700 // Sobic.004G031600 // Sobic.010G052600 // Sobic.004G190900 // Sobic.009G065000 // Sobic.004G295500 // Sobic.010G215100 // Sobic.009G100500 // Sobic.009G238500 // Sobic.002G225700 // Sobic.006G240500 // Sobic.001G206300 // Sobic.004G214300 // Sobic.010G091600 // Sobic.001G523200 // Sobic.006G162800 // Sobic.001G075900 // Sobic.003G121400 // Sobic.009G151600 // Sobic.002G275100 // Sobic.002G371800 // Sobic.002G225300 // Sobic.003G334600 // Sobic.005G064600 // Sobic.003G248400 // Sobic.009G221400 // Sobic.003G324500 // Sobic.001G447400 // Sobic.004G176600 // Sobic.007G162700 // Sobic.005G012000 // Sobic.001G481600 // Sobic.001G389000 // Sobic.004G101400 // Sobic.009G238200 // Sobic.009G111200 // Sobic.007G156700 // Sobic.001G040200 // Sobic.009G184400 // Sobic.002G390100 // Sobic.006G167800 // Sobic.002G420700 // Sobic.006G018800 // Sobic.003G333300 // Sobic.002G415600 // Sobic.007G180300 // Sobic.007G109900 // Sobic.007G083300 // Sobic.002G081300 // Sobic.006G058732 // Sobic.004G037800 // Sobic.001G314900 // Sobic.003G286700 // Sobic.003G369100 // Sobic.009G142200 // Sobic.010G275200 // Sobic.003G078100 // Sobic.005G018500 // Sobic.003G324400 // Sobic.004G041600 // Sobic.006G245500 // Sobic.003G194400 // Sobic.009G247300 // Sobic.002G203000 // Sobic.007G181500 // Sobic.004G191700 // Sobic.009G208000 // Sobic.006G170100 // Sobic.006G206000 // Sobic.008G016200 // Sobic.004G271700 // Sobic.003G295900 // Sobic.001G030200 // Sobic.005G041000 // Sobic.007G118301 // Sobic.003G265200 // Sobic.003G148600 // Sobic.003G379700 // Sobic.004G138400 // Sobic.007G061100 // Sobic.003G254900 // Sobic.003G395400 // Sobic.003G363400 // Sobic.009G232266 // Sobic.004G166400 // Sobic.001G044300 // Sobic.003G298600 // Sobic.005G051200 // Sobic.002G421600 // Sobic.004G201600 // Sobic.002G354600 
GO:0009875	P	pollen-pistil interaction	12	982	80	15420	0.0086	0.11	// Sobic.002G314700 // Sobic.001G428900 // Sobic.001G020500 // Sobic.003G319300 // Sobic.009G105500 // Sobic.001G332900 // Sobic.005G226000 // Sobic.009G019200 // Sobic.003G251000 // Sobic.002G289900 // Sobic.007G200200 // Sobic.003G012900 
GO:0008037	P	cell recognition	12	982	80	15420	0.0086	0.11	// Sobic.002G314700 // Sobic.001G428900 // Sobic.001G020500 // Sobic.003G319300 // Sobic.009G105500 // Sobic.001G332900 // Sobic.005G226000 // Sobic.009G019200 // Sobic.003G251000 // Sobic.002G289900 // Sobic.007G200200 // Sobic.003G012900 
